Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
540,0.033,0.043,0.040,0.116
541,0.032,0.043,0.040,0.115
542,0.033,0.043,0.040,0.116
543,0.033,0.043,0.040,0.116
544,0.033,0.043,0.040,0.116
545,0.035,0.044,0.042,0.121
546,0.033,0.042,0.040,0.115
547,0.033,0.043,0.040,0.116
548,0.033,0.043,0.040,0.116
549,0.033,0.042,0.040,0.115
550,0.035,0.042,0.040,0.117
551,0.033,0.043,0.040,0.116
552,0.033,0.042,0.040,0.115
553,0.033,0.042,0.040,0.115
554,0.033,0.043,0.040,0.116
555,0.033,0.043,0.040,0.116
556,0.033,0.043,0.040,0.116
557,0.033,0.043,0.040,0.116
558,0.033,0.043,0.040,0.116
559,0.032,0.042,0.040,0.114
560,0.032,0.042,0.040,0.114
561,0.033,0.043,0.041,0.117
562,0.033,0.042,0.040,0.115
563,0.033,0.043,0.040,0.116
564,0.033,0.042,0.040,0.115
565,0.033,0.042,0.040,0.115
566,0.033,0.042,0.040,0.115
567,0.034,0.043,0.040,0.117
568,0.032,0.042,0.039,0.113
569,0.032,0.042,0.040,0.114
570,0.033,0.042,0.040,0.115
571,0.033,0.042,0.039,0.114
572,0.033,0.042,0.040,0.115
573,0.033,0.043,0.041,0.117
574,0.033,0.042,0.040,0.115
575,0.033,0.043,0.040,0.116
576,0.033,0.043,0.040,0.116
577,0.032,0.042,0.040,0.114
578,0.033,0.042,0.040,0.115
579,0.033,0.043,0.040,0.116
580,0.033,0.043,0.040,0.116
581,0.033,0.043,0.040,0.116
582,0.032,0.042,0.040,0.114
583,0.033,0.043,0.040,0.116
584,0.035,0.042,0.040,0.117
585,0.032,0.042,0.040,0.114
586,0.033,0.043,0.040,0.116
587,0.034,0.043,0.040,0.117
588,0.032,0.042,0.040,0.114
589,0.033,0.042,0.040,0.115
590,0.033,0.042,0.039,0.114
591,0.032,0.042,0.039,0.113
592,0.032,0.042,0.040,0.114
593,0.033,0.042,0.040,0.115
594,0.033,0.043,0.040,0.116
595,0.033,0.043,0.040,0.116
596,0.034,0.043,0.041,0.118
597,0.033,0.043,0.040,0.116
598,0.033,0.043,0.040,0.116
599,0.033,0.043,0.040,0.116
600,0.033,0.043,0.040,0.116
601,0.033,0.042,0.040,0.115
602,0.033,0.042,0.040,0.115
603,0.032,0.042,0.040,0.114
604,0.032,0.042,0.039,0.113
605,0.032,0.042,0.040,0.114
606,0.033,0.042,0.040,0.115
607,0.033,0.042,0.040,0.115
608,0.033,0.042,0.040,0.115
609,0.033,0.042,0.040,0.115
610,0.032,0.042,0.040,0.114
611,0.032,0.042,0.040,0.114
612,0.033,0.043,0.041,0.117
613,0.032,0.042,0.041,0.115
614,0.032,0.042,0.040,0.114
615,0.032,0.042,0.039,0.113
616,0.032,0.042,0.040,0.114
617,0.032,0.042,0.040,0.114
618,0.036,0.042,0.040,0.118
619,0.033,0.042,0.040,0.115
620,0.033,0.043,0.040,0.116
621,0.033,0.043,0.040,0.116
622,0.033,0.042,0.040,0.115
623,0.032,0.042,0.040,0.114
624,0.032,0.042,0.040,0.114
625,0.032,0.042,0.040,0.114
626,0.033,0.042,0.040,0.115
627,0.033,0.042,0.040,0.115
628,0.033,0.042,0.039,0.114
629,0.032,0.042,0.039,0.113
630,0.032,0.042,0.040,0.114
631,0.033,0.042,0.040,0.115
632,0.033,0.043,0.040,0.116
633,0.033,0.043,0.040,0.116
634,0.033,0.043,0.040,0.116
635,0.033,0.043,0.040,0.116
636,0.033,0.043,0.040,0.116
637,0.033,0.042,0.040,0.115
638,0.033,0.042,0.040,0.115
639,0.033,0.043,0.040,0.116
640,0.033,0.043,0.040,0.116
641,0.033,0.043,0.040,0.116
642,0.033,0.042,0.040,0.115
643,0.033,0.044,0.041,0.118
644,0.034,0.043,0.040,0.117
645,0.034,0.042,0.040,0.116
646,0.033,0.043,0.040,0.116
647,0.033,0.042,0.040,0.115
648,0.033,0.042,0.040,0.115
649,0.033,0.042,0.040,0.115
650,0.033,0.042,0.040,0.115
651,0.033,0.043,0.041,0.117
652,0.039,0.043,0.040,0.122
653,0.033,0.042,0.040,0.115
654,0.033,0.043,0.041,0.117
655,0.033,0.043,0.042,0.118
656,0.035,0.048,0.045,0.128
657,0.033,0.042,0.039,0.114
658,0.032,0.042,0.040,0.114
659,0.032,0.042,0.040,0.114
660,0.032,0.042,0.040,0.114
661,0.032,0.042,0.040,0.114
662,0.032,0.042,0.040,0.114
663,0.032,0.042,0.040,0.114
664,0.033,0.043,0.041,0.117
665,0.033,0.042,0.039,0.114
666,0.032,0.042,0.040,0.114
667,0.032,0.042,0.040,0.114
668,0.033,0.043,0.041,0.117
669,0.033,0.043,0.051,0.127
670,0.036,0.043,0.040,0.119
671,0.034,0.043,0.040,0.117
672,0.034,0.042,0.040,0.116
673,0.033,0.043,0.040,0.116
674,0.032,0.042,0.040,0.114
675,0.032,0.042,0.040,0.114
676,0.034,0.043,0.042,0.119
677,0.035,0.044,0.041,0.120
678,0.033,0.070,0.041,0.144
679,0.034,0.044,0.042,0.120
680,0.034,0.042,0.040,0.116
681,0.034,0.046,0.041,0.121
682,0.033,0.043,0.041,0.117
683,0.033,0.042,0.040,0.115
684,0.033,0.046,0.040,0.119
685,0.033,0.043,0.041,0.117
686,0.033,0.043,0.041,0.117
687,0.033,0.043,0.040,0.116
688,0.032,0.042,0.040,0.114
689,0.033,0.043,0.040,0.116
690,0.032,0.042,0.040,0.114
691,0.032,0.042,0.041,0.115
692,0.033,0.042,0.039,0.114
693,0.033,0.044,0.040,0.117
694,0.033,0.042,0.040,0.115
695,0.033,0.043,0.040,0.116
696,0.033,0.043,0.040,0.116
697,0.032,0.044,0.040,0.116
698,0.033,0.043,0.040,0.116
699,0.033,0.043,0.040,0.116
700,0.033,0.043,0.040,0.116
701,0.033,0.043,0.040,0.116
702,0.034,0.042,0.040,0.116
703,0.033,0.043,0.040,0.116
704,0.033,0.043,0.040,0.116
705,0.033,0.042,0.039,0.114
706,0.033,0.042,0.039,0.114
707,0.032,0.042,0.041,0.115
708,0.032,0.042,0.040,0.114
709,0.032,0.042,0.040,0.114
710,0.032,0.042,0.040,0.114
711,0.032,0.042,0.054,0.128
712,0.035,0.042,0.040,0.117
713,0.033,0.042,0.040,0.115
714,0.033,0.043,0.040,0.116
715,0.033,0.042,0.040,0.115
716,0.034,0.043,0.040,0.117
717,0.032,0.043,0.041,0.116
718,0.033,0.043,0.041,0.117
719,0.033,0.043,0.040,0.116
720,0.033,0.042,0.040,0.115
721,0.034,0.044,0.041,0.119
722,0.033,0.042,0.040,0.115
723,0.033,0.043,0.040,0.116
724,0.033,0.043,0.040,0.116
725,0.033,0.043,0.040,0.116
726,0.033,0.043,0.040,0.116
727,0.033,0.042,0.040,0.115
728,0.033,0.042,0.040,0.115
729,0.033,0.056,0.041,0.130
730,0.034,0.043,0.041,0.118
731,0.033,0.043,0.041,0.117
732,0.034,0.042,0.040,0.116
733,0.040,0.045,0.042,0.127
734,0.034,0.044,0.041,0.119
735,0.033,0.042,0.040,0.115
736,0.033,0.042,0.040,0.115
737,0.033,0.042,0.040,0.115
738,0.033,0.042,0.040,0.115
739,0.033,0.042,0.041,0.116
740,0.032,0.042,0.040,0.114
741,0.032,0.042,0.040,0.114
742,0.033,0.042,0.040,0.115
743,0.033,0.043,0.040,0.116
744,0.032,0.042,0.041,0.115
745,0.046,0.042,0.040,0.128
746,0.034,0.043,0.041,0.118
747,0.033,0.042,0.041,0.116
748,0.033,0.042,0.040,0.115
749,0.033,0.042,0.041,0.116
750,0.033,0.042,0.040,0.115
751,0.033,0.043,0.040,0.116
752,0.033,0.043,0.040,0.116
753,0.033,0.043,0.040,0.116
754,0.033,0.042,0.039,0.114
755,0.033,0.042,0.040,0.115
756,0.032,0.042,0.040,0.114
757,0.032,0.042,0.040,0.114
758,0.033,0.043,0.040,0.116
759,0.033,0.043,0.040,0.116
760,0.033,0.043,0.040,0.116
761,0.032,0.042,0.040,0.114
762,0.032,0.042,0.040,0.114
763,0.033,0.043,0.040,0.116
764,0.033,0.043,0.040,0.116
