Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
476,0.110,0.135,0.152,0.397
477,0.109,0.135,0.151,0.395
478,0.111,0.136,0.151,0.398
479,0.109,0.134,0.150,0.393
480,0.110,0.135,0.151,0.396
481,0.110,0.135,0.152,0.397
482,0.110,0.135,0.152,0.397
483,0.114,0.136,0.151,0.401
484,0.110,0.135,0.152,0.397
485,0.109,0.134,0.151,0.394
486,0.110,0.135,0.151,0.396
487,0.110,0.135,0.151,0.396
488,0.109,0.134,0.151,0.394
489,0.110,0.135,0.151,0.396
490,0.110,0.135,0.151,0.396
491,0.110,0.136,0.151,0.397
492,0.109,0.135,0.151,0.395
493,0.112,0.135,0.151,0.398
494,0.110,0.135,0.151,0.396
495,0.109,0.135,0.151,0.395
496,0.111,0.135,0.152,0.398
497,0.110,0.135,0.152,0.397
498,0.110,0.135,0.151,0.396
499,0.109,0.135,0.151,0.395
500,0.110,0.135,0.153,0.398
501,0.111,0.135,0.152,0.398
502,0.111,0.135,0.151,0.397
503,0.117,0.135,0.156,0.408
504,0.110,0.135,0.150,0.395
505,0.110,0.136,0.156,0.402
506,0.111,0.136,0.152,0.399
507,0.112,0.137,0.152,0.401
508,0.111,0.135,0.173,0.419
509,0.120,0.144,0.177,0.441
510,0.117,0.143,0.154,0.414
511,0.112,0.157,0.154,0.423
512,0.114,0.137,0.151,0.402
513,0.111,0.137,0.155,0.403
514,0.112,0.139,0.152,0.403
515,0.111,0.137,0.152,0.400
516,0.111,0.135,0.152,0.398
517,0.114,0.140,0.155,0.409
518,0.115,0.136,0.152,0.403
519,0.113,0.141,0.157,0.411
520,0.111,0.137,0.152,0.400
521,0.131,0.139,0.154,0.424
522,0.112,0.137,0.152,0.401
523,0.110,0.135,0.151,0.396
524,0.111,0.135,0.152,0.398
525,0.110,0.135,0.152,0.397
526,0.111,0.136,0.153,0.400
527,0.110,0.135,0.154,0.399
528,0.111,0.140,0.154,0.405
529,0.112,0.136,0.152,0.400
530,0.111,0.136,0.167,0.414
531,0.115,0.137,0.153,0.405
532,0.109,0.136,0.151,0.396
533,0.110,0.135,0.152,0.397
534,0.110,0.136,0.153,0.399
535,0.110,0.135,0.151,0.396
536,0.111,0.137,0.153,0.401
537,0.110,0.135,0.151,0.396
538,0.111,0.136,0.152,0.399
539,0.110,0.135,0.151,0.396
540,0.111,0.136,0.160,0.407
541,0.112,0.136,0.152,0.400
542,0.110,0.135,0.151,0.396
543,0.110,0.136,0.152,0.398
544,0.110,0.135,0.153,0.398
545,0.110,0.136,0.153,0.399
546,0.110,0.135,0.151,0.396
547,0.110,0.135,0.151,0.396
548,0.110,0.135,0.152,0.397
549,0.110,0.135,0.151,0.396
550,0.110,0.135,0.160,0.405
551,0.112,0.137,0.152,0.401
552,0.111,0.136,0.152,0.399
553,0.110,0.136,0.152,0.398
554,0.110,0.135,0.152,0.397
555,0.110,0.135,0.152,0.397
556,0.110,0.136,0.152,0.398
557,0.112,0.137,0.153,0.402
558,0.115,0.138,0.156,0.409
559,0.112,0.136,0.163,0.411
560,0.119,0.158,0.156,0.433
561,0.111,0.138,0.152,0.401
562,0.111,0.135,0.152,0.398
563,0.111,0.135,0.152,0.398
564,0.111,0.136,0.153,0.400
565,0.111,0.135,0.152,0.398
566,0.109,0.134,0.151,0.394
567,0.110,0.135,0.151,0.396
568,0.110,0.135,0.152,0.397
569,0.110,0.135,0.151,0.396
570,0.109,0.154,0.152,0.415
571,0.111,0.135,0.151,0.397
572,0.111,0.135,0.150,0.396
573,0.110,0.136,0.151,0.397
574,0.110,0.135,0.151,0.396
575,0.110,0.135,0.151,0.396
576,0.110,0.138,0.152,0.400
577,0.110,0.135,0.152,0.397
578,0.109,0.134,0.151,0.394
579,0.111,0.135,0.151,0.397
580,0.109,0.144,0.154,0.407
581,0.110,0.135,0.151,0.396
582,0.110,0.135,0.151,0.396
583,0.109,0.135,0.152,0.396
584,0.110,0.135,0.151,0.396
585,0.111,0.136,0.151,0.398
586,0.110,0.135,0.153,0.398
587,0.126,0.143,0.157,0.426
588,0.112,0.137,0.153,0.402
589,0.110,0.135,0.151,0.396
590,0.122,0.135,0.151,0.408
591,0.110,0.135,0.152,0.397
592,0.110,0.135,0.151,0.396
593,0.110,0.135,0.151,0.396
594,0.109,0.135,0.151,0.395
595,0.110,0.138,0.151,0.399
596,0.112,0.137,0.153,0.402
597,0.110,0.137,0.153,0.400
598,0.113,0.137,0.155,0.405
599,0.114,0.138,0.153,0.405
600,0.122,0.137,0.153,0.412
601,0.110,0.135,0.151,0.396
602,0.110,0.135,0.151,0.396
603,0.110,0.136,0.154,0.400
604,0.122,0.138,0.155,0.415
605,0.110,0.135,0.151,0.396
606,0.110,0.135,0.155,0.400
607,0.111,0.136,0.151,0.398
608,0.109,0.135,0.150,0.394
609,0.110,0.134,0.163,0.407
610,0.113,0.136,0.153,0.402
611,0.109,0.135,0.151,0.395
612,0.111,0.135,0.151,0.397
613,0.110,0.135,0.151,0.396
614,0.110,0.135,0.151,0.396
615,0.110,0.136,0.152,0.398
616,0.109,0.134,0.151,0.394
617,0.110,0.136,0.152,0.398
618,0.112,0.135,0.151,0.398
619,0.110,0.137,0.166,0.413
620,0.115,0.138,0.153,0.406
621,0.110,0.135,0.151,0.396
622,0.111,0.136,0.152,0.399
623,0.110,0.135,0.151,0.396
624,0.110,0.135,0.152,0.397
625,0.109,0.134,0.151,0.394
626,0.109,0.135,0.151,0.395
627,0.111,0.139,0.155,0.405
628,0.109,0.135,0.152,0.396
629,0.110,0.135,0.163,0.408
630,0.110,0.135,0.151,0.396
631,0.110,0.135,0.151,0.396
632,0.110,0.135,0.151,0.396
633,0.111,0.136,0.151,0.398
634,0.109,0.134,0.150,0.393
635,0.110,0.135,0.151,0.396
636,0.109,0.134,0.151,0.394
637,0.109,0.135,0.151,0.395
638,0.110,0.135,0.151,0.396
639,0.109,0.135,0.154,0.398
640,0.111,0.136,0.152,0.399
641,0.109,0.135,0.152,0.396
642,0.109,0.135,0.151,0.395
643,0.110,0.135,0.151,0.396
644,0.110,0.135,0.151,0.396
645,0.110,0.135,0.151,0.396
646,0.110,0.134,0.150,0.394
647,0.110,0.135,0.151,0.396
648,0.110,0.134,0.151,0.395
649,0.110,0.135,0.154,0.399
650,0.110,0.135,0.151,0.396
651,0.109,0.135,0.151,0.395
652,0.109,0.134,0.150,0.393
653,0.110,0.135,0.151,0.396
654,0.110,0.135,0.151,0.396
655,0.110,0.135,0.151,0.396
656,0.110,0.135,0.151,0.396
657,0.110,0.135,0.151,0.396
658,0.110,0.136,0.152,0.398
659,0.110,0.135,0.154,0.399
660,0.111,0.137,0.151,0.399
661,0.109,0.135,0.151,0.395
662,0.109,0.135,0.151,0.395
663,0.110,0.136,0.153,0.399
664,0.111,0.136,0.151,0.398
665,0.111,0.136,0.152,0.399
666,0.110,0.135,0.151,0.396
667,0.110,0.135,0.151,0.396
668,0.110,0.135,0.152,0.397
669,0.110,0.135,0.154,0.399
670,0.116,0.138,0.152,0.406
671,0.110,0.135,0.151,0.396
672,0.109,0.135,0.150,0.394
673,0.110,0.135,0.151,0.396
674,0.110,0.135,0.151,0.396
675,0.109,0.135,0.152,0.396
676,0.109,0.134,0.151,0.394
677,0.111,0.135,0.151,0.397
678,0.111,0.136,0.152,0.399
679,0.110,0.136,0.160,0.406
680,0.114,0.136,0.152,0.402
681,0.109,0.134,0.152,0.395
682,0.111,0.135,0.151,0.397
683,0.109,0.136,0.151,0.396
684,0.110,0.134,0.151,0.395
685,0.111,0.136,0.153,0.400
686,0.111,0.136,0.152,0.399
687,0.110,0.136,0.152,0.398
688,0.110,0.134,0.151,0.395
689,0.110,0.135,0.160,0.405
690,0.112,0.136,0.152,0.400
691,0.110,0.134,0.151,0.395
692,0.110,0.135,0.152,0.397
693,0.110,0.135,0.151,0.396
694,0.110,0.135,0.151,0.396
695,0.110,0.135,0.151,0.396
696,0.110,0.135,0.151,0.396
697,0.109,0.134,0.151,0.394
698,0.109,0.135,0.151,0.395
699,0.111,0.135,0.154,0.400
700,0.109,0.135,0.151,0.395
701,0.111,0.135,0.151,0.397
702,0.113,0.138,0.152,0.403
703,0.110,0.136,0.151,0.397
704,0.109,0.135,0.151,0.395
705,0.110,0.135,0.151,0.396
706,0.110,0.135,0.151,0.396
707,0.110,0.135,0.151,0.396
708,0.110,0.135,0.151,0.396
709,0.110,0.135,0.151,0.396
710,0.115,0.137,0.153,0.405
711,0.109,0.135,0.151,0.395
712,0.110,0.136,0.155,0.401
713,0.109,0.135,0.152,0.396
714,0.111,0.135,0.152,0.398
715,0.109,0.137,0.151,0.397
716,0.110,0.136,0.152,0.398
717,0.110,0.135,0.152,0.397
718,0.110,0.135,0.152,0.397
719,0.110,0.135,0.162,0.407
720,0.111,0.136,0.151,0.398
721,0.110,0.135,0.151,0.396
722,0.109,0.135,0.151,0.395
723,0.110,0.135,0.151,0.396
724,0.109,0.135,0.151,0.395
725,0.110,0.134,0.151,0.395
726,0.111,0.136,0.151,0.398
