Iteración,Tiempo Generación Claves (ms),Tiempo Firma (ms),Tiempo Verificación (ms),Tiempo Total (ms)
63,185.4880,1410.5680,1.2830,1597.3390
64,185.4930,1410.9490,1.3610,1597.8030
65,185.4310,1410.8180,1.4230,1597.6720
66,185.5170,1410.3160,1.3520,1597.1850
67,185.4750,1411.0500,1.2930,1597.8180
68,185.3220,1411.4120,1.4100,1598.1440
69,185.7240,1410.7340,1.3140,1597.7720
70,186.0670,1411.7350,1.3620,1599.1640
1,273.4930,2445.6250,2.0600,2721.1780
2,273.0040,2445.7130,2.0410,2720.7580
3,273.2150,2445.8810,2.0350,2721.1310
4,272.9070,2446.0330,2.0090,2720.9490
5,273.0010,2445.9880,2.0290,2721.0180
