Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
575,kyber1024,0.0972,0.1160,0.1345,0.3477
576,kyber1024,0.1081,0.1190,0.1335,0.3606
577,kyber1024,0.0987,0.1172,0.1312,0.3471
578,kyber1024,0.0978,0.1175,0.1457,0.3610
579,kyber1024,0.0967,0.1159,0.1316,0.3442
580,kyber1024,0.0988,0.1177,0.1316,0.3481
581,kyber1024,0.0967,0.1162,0.1356,0.3485
582,kyber1024,0.0972,0.1164,0.1316,0.3452
583,kyber1024,0.0979,0.1168,0.1316,0.3463
584,kyber1024,0.0972,0.1172,0.1389,0.3533
585,kyber1024,0.0971,0.1163,0.1301,0.3435
586,kyber1024,0.1908,0.1191,0.1342,0.4441
587,kyber1024,0.1113,0.1166,0.1261,0.3540
588,kyber1024,0.0978,0.1166,0.1317,0.3461
589,kyber1024,0.0973,0.1177,0.1360,0.3510
590,kyber1024,0.0972,0.1162,0.1305,0.3439
591,kyber1024,0.0992,0.1181,0.1331,0.3504
592,kyber1024,0.0987,0.1173,0.1359,0.3519
593,kyber1024,0.0983,0.1178,0.1323,0.3484
594,kyber1024,0.0967,0.1160,0.1316,0.3443
595,kyber1024,0.1085,0.1236,0.1330,0.3651
596,kyber1024,0.0988,0.1182,0.1329,0.3499
597,kyber1024,0.0992,0.1175,0.1333,0.3500
598,kyber1024,0.0992,0.1273,0.1324,0.3589
599,kyber1024,0.0979,0.1173,0.1314,0.3466
600,kyber1024,0.0996,0.1185,0.1328,0.3509
601,kyber1024,0.1056,0.1166,0.1319,0.3541
602,kyber1024,0.0994,0.1177,0.1324,0.3495
603,kyber1024,0.0988,0.1177,0.1464,0.3629
604,kyber1024,0.1078,0.1139,0.1317,0.3534
605,kyber1024,0.0991,0.1139,0.1368,0.3498
606,kyber1024,0.1244,0.1307,0.1317,0.3868
607,kyber1024,0.0977,0.1163,0.1312,0.3452
608,kyber1024,0.0991,0.1175,0.1322,0.3488
609,kyber1024,0.1068,0.1183,0.1340,0.3591
610,kyber1024,0.0982,0.1175,0.1315,0.3472
611,kyber1024,0.0966,0.1159,0.1395,0.3520
612,kyber1024,0.0970,0.1116,0.1255,0.3341
613,kyber1024,0.0981,0.1175,0.1324,0.3480
614,kyber1024,0.0991,0.1178,0.1367,0.3536
615,kyber1024,0.0979,0.1169,0.1312,0.3460
616,kyber1024,0.0982,0.1170,0.1315,0.3467
617,kyber1024,0.1000,0.1302,0.1338,0.3640
618,kyber1024,0.0975,0.1173,0.1307,0.3455
619,kyber1024,0.0987,0.1178,0.1331,0.3496
620,kyber1024,0.1084,0.1210,0.1312,0.3606
621,kyber1024,0.0972,0.1163,0.1303,0.3438
622,kyber1024,0.0995,0.1189,0.1334,0.3518
623,kyber1024,0.1072,0.1147,0.1322,0.3541
624,kyber1024,0.1081,0.1196,0.2244,0.4521
625,kyber1024,0.1082,0.1220,0.1421,0.3723
626,kyber1024,0.0982,0.1177,0.1312,0.3471
627,kyber1024,0.0970,0.1165,0.1305,0.3440
628,kyber1024,0.0984,0.1210,0.1314,0.3508
629,kyber1024,0.0982,0.1164,0.1307,0.3453
630,kyber1024,0.0970,0.1164,0.1305,0.3439
631,kyber1024,0.0999,0.1268,0.1309,0.3576
632,kyber1024,0.0967,0.1165,0.1297,0.3429
633,kyber1024,0.0970,0.1166,0.1338,0.3474
634,kyber1024,0.1070,0.1183,0.1324,0.3577
635,kyber1024,0.1088,0.1195,0.1331,0.3614
636,kyber1024,0.0958,0.1162,0.1384,0.3504
637,kyber1024,0.0986,0.1173,0.1314,0.3473
638,kyber1024,0.0987,0.1183,0.1321,0.3491
639,kyber1024,0.0983,0.1207,0.1354,0.3544
640,kyber1024,0.0977,0.1173,0.1266,0.3416
641,kyber1024,0.1076,0.1321,0.1317,0.3714
642,kyber1024,0.1087,0.1239,0.1331,0.3657
643,kyber1024,0.0968,0.1177,0.1305,0.3450
644,kyber1024,0.0976,0.2214,0.1322,0.4512
645,kyber1024,0.1138,0.1180,0.1319,0.3637
646,kyber1024,0.0976,0.1168,0.1312,0.3456
647,kyber1024,0.0990,0.1187,0.1360,0.3537
