Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
2.0910,0.2847,0.3236,1.1700,2.7479
1.2832,0.2866,0.3151,1.1758,1.9324
0.6595,0.2960,0.3046,1.1926,1.2971
1.9567,0.2868,0.3212,1.4529,2.6566
0.5375,0.2880,0.3023,1.2943,1.1784
0.4315,0.2859,0.3044,1.0519,1.0890
0.4412,0.2790,0.3076,1.3726,1.0964
1.0831,0.2950,0.3088,2.1396,1.7459
0.7280,0.2831,0.3211,2.4139,1.4075
1.1668,0.2846,0.3120,1.0381,1.8180
0.5923,0.2785,0.3109,3.0290,3.0813
0.9557,0.2799,0.3213,1.8254,1.6575
0.7136,0.2815,0.3099,1.6349,1.3667
0.4552,0.2803,0.3147,1.0697,1.1487
0.8595,0.2791,0.3381,1.9307,1.5607
1.9714,0.2967,0.3261,1.6546,2.6385
1.2065,0.3003,0.3166,1.5957,1.8878
0.4466,0.2958,0.3221,1.0844,1.1295
0.4532,0.2937,0.3133,1.6020,1.1400
1.1651,0.2808,0.3114,1.3343,1.9064
0.6741,0.2942,0.3097,1.3190,1.4546
0.4600,0.2951,0.3119,2.1535,1.2241
0.9056,0.2826,0.3039,1.8520,1.6320
0.7261,0.2870,0.3036,1.8942,1.4590
0.7091,0.2921,0.3046,1.4058,1.4210
1.0516,0.2990,0.3204,1.5377,1.8120
1.0588,0.2787,0.3243,2.1164,1.8177
1.1513,0.2804,0.3225,1.2460,1.8901
0.5519,0.2849,0.2995,1.3817,1.2708
1.1043,0.2812,0.3295,1.1158,1.8480
0.7727,0.2903,0.3032,2.1278,1.4977
1.2040,0.2986,0.3084,1.2471,1.9520
0.6842,0.2811,0.3100,1.1101,1.3971
0.5743,0.2781,0.3213,1.3582,1.3135
0.4350,0.2875,0.3166,1.2086,1.1451
0.5765,0.2765,0.3007,2.7175,1.2726
0.4359,0.2734,0.3286,1.3652,1.1810
