Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
846,0.3229,0.4359,0.6464,0.2020,0.2042,0.9607,1.1735
847,0.2991,0.9450,0.3137,0.1771,0.1966,1.4211,0.8093
848,0.3649,0.6037,0.7539,0.2282,0.2385,1.1968,1.3574
849,0.2981,0.4254,0.3234,0.1918,0.1952,0.9153,0.8168
850,0.2993,1.1709,0.4838,0.1756,0.2117,1.6459,0.9948
851,0.3012,0.5388,0.2868,0.1917,0.2000,1.0317,0.7881
852,0.2811,0.3744,1.7743,0.2317,0.2597,0.8872,2.3151
853,0.3185,0.6278,0.3958,0.1702,0.1946,1.1166,0.9089
854,0.2778,0.9399,0.3666,0.1673,0.2137,1.3850,0.8581
855,0.2873,0.5018,0.5780,0.1819,0.2034,0.9710,1.0687
856,0.2849,2.2515,0.4565,0.1683,0.1991,2.7048,0.9406
857,0.3008,0.3095,0.4547,0.1705,0.2134,0.7808,0.9689
858,0.2944,0.4284,0.5691,0.1715,0.1961,0.8942,1.0596
859,0.2998,0.2687,0.5742,0.1699,0.1998,0.7383,1.0738
860,0.3091,0.2763,1.2405,0.1775,0.1962,0.7630,1.7458
861,0.3008,0.2675,0.8304,0.1960,0.1952,0.7643,1.3265
862,0.2960,0.6718,0.2869,0.1720,0.2012,1.1397,0.7840
863,0.3025,0.3538,1.4916,0.1745,0.1986,0.8309,1.9927
864,0.2930,0.3668,0.6919,0.1908,0.1943,0.8506,1.1792
865,0.2910,1.2731,1.6419,0.1781,0.2100,1.7422,2.1429
866,0.2925,0.2717,0.5458,0.1676,0.1995,0.7317,1.0377
867,0.3197,0.9828,0.7854,0.1717,0.2000,1.4743,1.3052
868,0.3091,0.5268,0.2880,0.1778,0.2214,1.0138,0.8186
869,0.3102,1.0320,1.6320,0.1752,0.1938,1.5175,2.1360
870,0.3106,0.2607,0.5032,0.1874,0.1953,0.7587,1.0091
871,0.2803,0.6551,0.3813,0.1676,0.2116,1.1029,0.8732
872,0.2786,0.6044,1.1282,0.1684,0.1990,1.0514,1.6057
873,0.3160,0.3723,0.2916,0.1723,0.2109,0.8606,0.8186
874,0.2926,0.2631,0.4837,0.1680,0.1950,0.7237,0.9713
875,0.3339,0.3337,0.7817,0.1689,0.2047,0.8364,1.3203
876,0.3372,0.4405,0.8057,0.1684,0.1942,0.9461,1.3372
877,0.2952,0.2613,0.6476,0.1872,0.1955,0.7437,1.1383
878,0.2563,0.7114,1.8446,0.1727,0.1960,1.1404,2.2969
879,0.3032,0.2620,0.4651,0.1952,0.1933,0.7604,0.9617
880,0.2685,1.1922,0.3575,0.1724,0.1982,1.6331,0.8241
881,0.3007,0.3372,0.5448,0.1706,0.1925,0.8086,1.0380
882,0.3027,0.8622,0.4470,0.1799,0.1938,1.3448,0.9435
883,0.3151,0.3758,1.2690,0.1741,0.2120,0.8649,1.7961
884,0.3404,1.1523,1.0068,0.1732,0.2070,1.6660,1.5542
