Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
234,falcon-512,pequeño,7.7071,0.8561,0.0566,8.6198
235,falcon-512,pequeño,8.0516,0.8642,0.0566,8.9725
236,falcon-512,pequeño,14.4590,0.8718,0.0561,15.3869
237,falcon-512,pequeño,10.4238,0.8533,0.0569,11.3340
238,falcon-512,pequeño,6.7666,1.1293,0.0728,7.9687
239,falcon-512,pequeño,9.5899,0.9015,0.0603,10.5518
240,falcon-512,pequeño,10.5542,0.8752,0.0603,11.4897
241,falcon-512,pequeño,7.0763,0.8602,0.0573,7.9937
242,falcon-512,pequeño,14.4350,0.8697,0.0587,15.3634
243,falcon-512,pequeño,9.5726,0.8798,0.0577,10.5100
244,falcon-512,pequeño,6.7126,0.8716,0.0569,7.6411
245,falcon-512,pequeño,15.3578,0.8609,0.0567,16.2755
246,falcon-512,pequeño,10.7847,0.8749,0.0570,11.7167
247,falcon-512,pequeño,9.3997,0.8816,0.0585,10.3397
248,falcon-512,pequeño,6.7458,0.8878,0.0638,7.6975
249,falcon-512,pequeño,7.4099,0.8606,0.0573,8.3278
250,falcon-512,pequeño,10.6735,0.8690,0.0561,11.5986
251,falcon-512,pequeño,7.9589,0.8598,0.0567,8.8753
252,falcon-512,pequeño,11.6007,0.8650,0.0586,12.5243
253,falcon-512,pequeño,9.1308,0.8574,0.0561,10.0443
254,falcon-512,pequeño,12.1139,0.8538,0.0560,13.0237
255,falcon-512,pequeño,9.7557,1.1091,0.0611,10.9260
256,falcon-512,pequeño,8.7661,1.2647,0.0962,10.1270
257,falcon-512,pequeño,10.2887,0.9605,0.0928,11.3420
258,falcon-512,pequeño,7.3090,0.8715,0.0561,8.2366
259,falcon-512,pequeño,14.6579,0.8660,0.0567,15.5806
260,falcon-512,pequeño,7.6613,0.8644,0.0558,8.5815
261,falcon-512,pequeño,8.7203,0.8528,0.0558,9.6289
262,falcon-512,pequeño,7.4851,0.8543,0.0556,8.3951
263,falcon-512,pequeño,6.6981,0.8539,0.0560,7.6080
264,falcon-512,pequeño,7.6386,0.8522,0.0553,8.5461
265,falcon-512,pequeño,10.3401,0.8792,0.0562,11.2755
266,falcon-512,pequeño,6.7004,0.8965,0.0553,7.6521
267,falcon-512,pequeño,13.9415,0.9161,0.0597,14.9173
268,falcon-512,pequeño,10.0448,0.8759,0.0556,10.9763
269,falcon-512,pequeño,8.1845,0.8786,0.0557,9.1188
270,falcon-512,pequeño,12.0271,0.8701,0.0573,12.9545
271,falcon-512,pequeño,7.2690,0.8608,0.0562,8.1861
