Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
841,falcon-1024,grande,22.7185,3.0847,0.1720,25.9752
842,falcon-1024,grande,25.2148,1.8929,0.1650,27.2727
843,falcon-1024,grande,23.4307,1.8790,0.1639,25.4736
844,falcon-1024,grande,27.5361,1.8707,0.1636,29.5703
845,falcon-1024,grande,21.7274,1.8874,0.1678,23.7826
846,falcon-1024,grande,27.7257,1.8733,0.1649,29.7639
847,falcon-1024,grande,20.5464,1.8712,0.1646,22.5821
848,falcon-1024,grande,26.6034,1.8743,0.1671,28.6447
849,falcon-1024,grande,53.0823,1.8939,0.1699,55.1461
850,falcon-1024,grande,47.2147,1.8759,0.1696,49.2601
851,falcon-1024,grande,23.1787,1.8572,0.1647,25.2006
852,falcon-1024,grande,22.3774,1.8674,0.1642,24.4089
853,falcon-1024,grande,19.8433,1.8585,0.1627,21.8645
854,falcon-1024,grande,21.0469,1.8775,0.1641,23.0885
855,falcon-1024,grande,29.3758,1.8764,0.1762,31.4283
856,falcon-1024,grande,30.2311,1.8634,0.1646,32.2591
857,falcon-1024,grande,22.5711,1.8695,0.1657,24.6063
858,falcon-1024,grande,26.1079,1.8671,0.1683,28.1433
859,falcon-1024,grande,23.2260,1.8923,0.1638,25.2821
860,falcon-1024,grande,20.3105,1.8699,0.1643,22.3447
861,falcon-1024,grande,40.0512,1.8785,0.1672,42.0969
862,falcon-1024,grande,27.0598,1.8747,0.1642,29.0987
863,falcon-1024,grande,24.1986,1.8590,0.1634,26.2210
864,falcon-1024,grande,21.4208,1.8873,0.1627,23.4707
865,falcon-1024,grande,20.0973,3.1209,0.1757,23.3939
866,falcon-1024,grande,20.9837,1.8640,0.1715,23.0192
867,falcon-1024,grande,19.9241,1.8659,0.1716,21.9615
868,falcon-1024,grande,24.7059,1.8547,0.1694,26.7299
869,falcon-1024,grande,19.3706,1.8644,0.1662,21.4012
870,falcon-1024,grande,19.6573,1.8736,0.1641,21.6950
871,falcon-1024,grande,23.6888,1.9243,0.1683,25.7815
872,falcon-1024,grande,33.9479,1.9075,0.1656,36.0210
873,falcon-1024,grande,26.0030,1.8595,0.1646,28.0271
874,falcon-1024,grande,20.4919,1.8802,0.1629,22.5350
875,falcon-1024,grande,22.0978,1.9267,0.1681,24.1926
876,falcon-1024,grande,22.8297,1.8542,0.1641,24.8479
877,falcon-1024,grande,23.3378,1.8542,0.1634,25.3554
878,falcon-1024,grande,42.4690,1.8660,0.1745,44.5095
879,falcon-1024,grande,29.0316,1.8698,0.1673,31.0688
880,falcon-1024,grande,19.3832,2.0294,0.1640,21.5766
881,falcon-1024,grande,24.2230,1.8610,0.1681,26.2520
882,falcon-1024,grande,24.2329,1.9023,0.1676,26.3028
883,falcon-1024,grande,22.3371,1.8531,0.1632,24.3534
884,falcon-1024,grande,20.0743,1.8765,0.1644,22.1152
885,falcon-1024,grande,19.6430,1.8612,0.1639,21.6681
