Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
287,82.794,1.104,0.054,83.952
288,87.536,1.098,0.057,88.691
289,145.724,1.096,0.054,146.874
290,249.200,1.130,0.055,250.386
291,166.402,1.114,0.060,167.576
292,104.150,1.127,0.056,105.333
293,79.458,1.087,0.055,80.599
294,41.124,1.051,0.051,42.226
295,228.045,1.097,0.109,229.251
296,100.318,1.114,0.059,101.491
297,46.362,1.084,0.054,47.501
298,87.285,1.078,0.052,88.415
299,179.550,1.111,0.054,180.715
300,76.336,1.091,0.056,77.483
301,174.314,1.101,0.054,175.470
302,197.360,1.093,0.053,198.506
303,125.802,1.106,0.063,126.972
304,57.454,1.071,0.052,58.576
305,272.301,1.132,0.056,273.489
306,157.235,1.077,0.057,158.368
307,248.822,1.136,0.054,250.013
308,156.087,1.065,0.051,157.203
309,160.470,1.123,0.055,161.647
310,304.760,1.107,0.055,305.922
311,114.308,1.143,0.066,115.517
312,125.765,1.102,0.055,126.922
313,75.829,1.101,0.055,76.985
314,38.458,1.062,0.051,39.572
315,138.599,1.101,0.056,139.756
316,236.392,1.136,0.065,237.593
317,117.108,1.107,0.059,118.274
318,72.119,1.157,0.059,73.335
319,123.675,1.076,0.056,124.808
320,222.262,1.103,0.148,223.513
321,218.800,1.272,0.067,220.139
322,102.213,1.101,0.055,103.369
323,332.219,1.137,0.053,333.409
324,95.776,1.122,0.054,96.952
325,30.753,1.094,0.053,31.900
326,147.930,1.062,0.050,149.042
327,205.992,1.110,0.054,207.155
328,217.589,1.106,0.053,218.748
329,106.866,1.059,0.050,107.975
330,222.797,1.109,0.053,223.959
331,523.427,1.085,0.053,524.564
332,54.836,1.093,0.050,55.979
333,151.979,1.087,0.052,153.118
334,50.914,1.081,0.050,52.045
335,119.990,1.101,0.062,121.153
336,166.517,1.076,0.074,167.667
337,235.407,1.072,0.058,236.537
338,176.648,1.083,0.053,177.783
339,35.397,1.055,0.048,36.500
340,205.339,1.083,0.052,206.474
341,244.065,1.089,0.055,245.208
342,111.060,1.100,0.053,112.213
343,447.504,1.085,0.052,448.641
344,50.727,1.057,0.049,51.834
345,548.662,1.152,0.054,549.869
346,122.921,1.103,0.051,124.075
347,200.956,1.109,0.051,202.117
348,102.663,1.060,0.049,103.772
349,61.149,1.077,0.050,62.276
350,139.469,1.089,0.061,140.620
351,214.259,1.112,0.054,215.424
352,99.698,1.064,0.070,100.832
353,207.349,1.083,0.056,208.488
354,91.729,1.071,0.050,92.850
355,123.736,1.049,0.060,124.845
356,78.791,1.095,0.058,79.944
357,371.531,1.091,0.052,372.674
358,184.880,1.074,0.050,186.005
359,241.050,1.134,0.054,242.238
360,60.527,1.058,0.051,61.635
361,543.954,1.093,0.053,545.099
362,226.455,1.064,0.053,227.572
363,130.076,1.076,0.060,131.212
364,137.093,1.135,0.057,138.286
365,148.467,1.056,0.060,149.583
366,152.347,1.103,0.055,153.505
367,94.703,1.079,0.054,95.836
368,131.034,1.084,0.052,132.169
369,149.053,1.095,0.051,150.199
370,93.077,1.047,0.048,94.172
371,106.290,1.124,0.058,107.472
372,227.938,1.076,0.070,229.084
373,107.544,1.090,0.054,108.689
374,229.316,1.098,0.053,230.466
375,336.183,1.087,0.052,337.321
376,128.516,1.188,0.056,129.760
377,169.640,1.046,0.049,170.735
378,149.265,1.084,0.057,150.406
379,154.858,1.069,0.059,155.986
380,101.257,1.082,0.053,102.393
381,36.999,1.095,0.062,38.156
382,28.423,1.047,0.049,29.519
383,135.583,1.088,0.054,136.725
384,244.580,1.444,0.211,246.234
385,95.353,1.128,0.099,96.580
386,221.944,1.097,0.053,223.095
387,197.257,1.081,0.051,198.390
388,164.470,1.077,0.051,165.598
389,111.111,1.054,0.048,112.213
390,117.252,1.076,0.050,118.378
391,84.478,1.100,0.052,85.630
392,152.370,1.050,0.047,153.467
393,249.557,1.084,0.055,250.696
394,118.605,1.060,0.048,119.714
395,77.701,1.089,0.055,78.845
396,91.554,1.060,0.047,92.661
397,254.506,1.089,0.052,255.648
398,141.990,1.087,0.049,143.126
399,207.090,1.100,0.052,208.242
400,64.310,1.062,0.049,65.420
401,43.269,1.054,0.047,44.370
402,154.146,1.076,0.050,155.272
403,145.847,1.080,0.051,146.978
404,108.772,1.053,0.047,109.872
405,125.371,1.099,0.052,126.522
