Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
543,Falcon1024,pequeño,25.3415,2.5046,0.1096,27.9557
544,Falcon1024,pequeño,43.1374,2.4374,0.1092,45.6840
545,Falcon1024,pequeño,22.3845,2.4596,0.1152,24.9593
546,Falcon1024,pequeño,28.2452,2.4694,0.1083,30.8229
547,Falcon1024,pequeño,33.9330,2.4692,0.1778,36.5800
548,Falcon1024,pequeño,78.6205,2.4441,0.1126,81.1772
549,Falcon1024,pequeño,32.5392,2.4880,0.1080,35.1352
550,Falcon1024,pequeño,45.8597,2.6158,0.1073,48.5828
551,Falcon1024,pequeño,27.0133,2.5265,0.1086,29.6484
552,Falcon1024,pequeño,21.7728,2.4471,0.1071,24.3270
553,Falcon1024,pequeño,29.0926,2.3831,0.1085,31.5842
554,Falcon1024,pequeño,25.1221,2.4805,0.1163,27.7189
555,Falcon1024,pequeño,23.1525,2.4921,0.1079,25.7525
556,Falcon1024,pequeño,34.4387,2.4635,0.1089,37.0111
557,Falcon1024,pequeño,40.1609,2.4886,0.1095,42.7590
558,Falcon1024,pequeño,21.8141,2.4698,0.1068,24.3907
559,Falcon1024,pequeño,28.8085,2.4889,0.1077,31.4051
560,Falcon1024,pequeño,49.8635,2.4785,0.1154,52.4574
561,Falcon1024,pequeño,22.7894,2.5044,0.1097,25.4035
562,Falcon1024,pequeño,26.4213,2.4725,0.1097,29.0035
563,Falcon1024,pequeño,42.7406,2.5362,0.1148,45.3916
564,Falcon1024,pequeño,24.0459,2.4732,0.1117,26.6308
565,Falcon1024,pequeño,28.9319,2.5338,0.1081,31.5738
566,Falcon1024,pequeño,49.4410,2.5631,0.1083,52.1124
567,Falcon1024,pequeño,37.8004,2.4718,0.1127,40.3849
568,Falcon1024,pequeño,25.0925,2.4589,0.1094,27.6608
569,Falcon1024,pequeño,21.7718,2.5227,0.1158,24.4103
570,Falcon1024,pequeño,23.2209,2.3921,0.1094,25.7224
571,Falcon1024,pequeño,21.9179,2.4911,0.1081,24.5171
572,Falcon1024,pequeño,31.3086,2.4392,0.1088,33.8566
573,Falcon1024,pequeño,34.4278,2.4912,0.1099,37.0289
574,Falcon1024,pequeño,22.2203,2.4165,0.1138,24.7506
575,Falcon1024,pequeño,36.7483,2.4670,0.1501,39.3654
576,Falcon1024,pequeño,30.2431,2.4856,0.1091,32.8378
577,Falcon1024,pequeño,24.5493,2.4726,0.1092,27.1311
578,Falcon1024,pequeño,23.7863,2.4546,0.1161,26.3570
579,Falcon1024,pequeño,21.7675,2.4636,0.1113,24.3424
580,Falcon1024,pequeño,42.7422,2.5429,0.1095,45.3946
581,Falcon1024,pequeño,22.9799,2.4841,0.1093,25.5733
582,Falcon1024,pequeño,27.4839,2.4638,0.1117,30.0594
583,Falcon1024,pequeño,21.7541,2.4142,0.1087,24.2770
584,Falcon1024,pequeño,21.8166,2.7193,0.1095,24.6454
585,Falcon1024,pequeño,22.2600,2.4883,0.1090,24.8573
586,Falcon1024,pequeño,59.7000,2.5003,0.1122,62.3125
587,Falcon1024,pequeño,52.2708,2.4704,0.1077,54.8489
588,Falcon1024,pequeño,26.1312,2.5544,0.1103,28.7959
589,Falcon1024,pequeño,24.2379,2.5043,0.1121,26.8543
