Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
589,0.1150,0.2310,0.1360,0.4820
590,0.1170,0.9530,0.1340,1.2040
591,0.1300,0.3110,0.1310,0.5720
592,0.1220,0.2350,0.1370,0.4940
593,0.1190,0.5290,0.1330,0.7810
594,0.1160,0.5810,0.1290,0.8260
595,0.1130,0.2250,0.1300,0.4680
596,0.1110,1.0020,0.1480,1.2610
597,0.1150,0.3360,0.1370,0.5880
598,0.1170,0.3340,0.1390,0.5900
599,0.1180,0.3400,0.1300,0.5880
600,0.1120,0.2250,0.1460,0.4830
601,0.1210,0.5280,0.1370,0.7860
602,0.1180,1.0100,0.1340,1.2620
603,0.1150,0.3120,0.1310,0.5580
604,0.1180,0.4380,0.1320,0.6880
605,0.1110,1.1310,0.1300,1.3720
606,0.1110,0.3230,0.1330,0.5670
607,0.1110,0.2260,0.1290,0.4660
608,0.1130,1.6580,0.1300,1.9010
609,0.1110,0.4130,0.1300,0.6540
610,0.1110,0.5140,0.1300,0.7550
611,0.1140,0.4940,0.1300,0.7380
612,0.1200,1.0740,0.1300,1.3240
613,0.1120,0.3080,0.1300,0.5500
614,0.1110,0.6210,0.1300,0.8620
615,0.1120,0.4950,0.1300,0.7370
616,0.1140,0.9970,0.1340,1.2450
617,0.1140,0.3150,0.1330,0.5620
618,0.1130,0.4160,0.1310,0.6600
619,0.1110,0.4130,0.1320,0.6560
620,0.1140,0.5930,0.1310,0.8380
621,0.1140,0.9210,0.1340,1.1690
622,0.1150,1.0850,0.1350,1.3350
623,0.1180,0.9670,0.1350,1.2200
624,0.1140,0.7080,0.1300,0.9520
625,0.1120,1.2590,0.1290,1.5000
626,0.1110,0.2240,0.1400,0.4750
627,0.1130,0.2250,0.1290,0.4670
628,0.1110,1.1970,0.1290,1.4370
