Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
976,0.1150,0.4930,0.1340,0.7420
977,0.1130,0.6140,0.1330,0.8600
978,0.1150,0.6590,0.1340,0.9080
979,0.1140,0.3910,0.1330,0.6380
980,0.1190,0.3320,0.1360,0.5870
981,0.1140,0.2300,0.1360,0.4800
982,0.1170,1.3240,0.1350,1.5760
983,0.1140,0.2290,0.1360,0.4790
984,0.1150,0.5200,0.1360,0.7710
985,0.1140,0.4990,0.1360,0.7490
986,0.1160,0.2290,0.1350,0.4800
987,0.1150,0.3120,0.1360,0.5630
988,0.1150,0.2300,0.1360,0.4810
989,0.1160,0.4360,0.1370,0.6890
990,0.1170,0.7690,0.1360,1.0220
991,0.1150,0.3330,0.1360,0.5840
992,0.1140,0.6000,0.1350,0.8490
993,0.1160,0.9320,0.1350,1.1830
994,0.1160,0.3120,0.1350,0.5630
995,0.1160,0.8320,0.1350,1.0830
996,0.1150,0.5180,0.1360,0.7690
997,0.1150,0.2300,0.1350,0.4800
998,0.1170,0.5180,0.1360,0.7710
999,0.1150,0.6400,0.1350,0.8900
1000,0.1150,0.9940,0.1350,1.2440
