Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
929,Dilithium2,0.1055,0.3519,0.1097,0.5671
930,Dilithium2,0.1028,0.4274,0.1318,0.6620
931,Dilithium2,0.1042,0.8649,0.1110,1.0801
932,Dilithium2,0.1061,0.4436,0.2376,0.7873
933,Dilithium2,0.1066,0.1851,0.1114,0.4031
934,Dilithium2,0.1043,0.4068,0.1123,0.6234
935,Dilithium2,0.1051,0.1837,0.1115,0.4003
936,Dilithium2,0.1032,0.4114,0.1121,0.6267
937,Dilithium2,0.1045,0.1831,0.1105,0.3981
938,Dilithium2,0.1031,0.3855,0.1122,0.6008
939,Dilithium2,0.1059,0.3711,0.1160,0.5930
940,Dilithium2,0.1038,0.1831,0.1097,0.3966
941,Dilithium2,0.1039,0.4420,0.1108,0.6567
942,Dilithium2,0.1039,0.8747,0.1099,1.0885
943,Dilithium2,0.2130,0.1834,0.1107,0.5071
944,Dilithium2,0.1058,1.0537,0.1136,1.2731
945,Dilithium2,0.1069,1.2079,0.1110,1.4258
946,Dilithium2,0.1036,0.3731,0.1195,0.5962
947,Dilithium2,0.1072,0.6520,0.1112,0.8704
948,Dilithium2,0.1062,0.3434,0.1100,0.5596
949,Dilithium2,0.1034,0.2544,0.1092,0.4670
950,Dilithium2,0.1069,0.3379,0.1237,0.5685
951,Dilithium2,0.1045,0.6210,0.1120,0.8375
952,Dilithium2,0.1051,0.4994,0.1189,0.7234
953,Dilithium2,0.1057,0.3543,0.1119,0.5719
954,Dilithium2,0.1051,0.2561,0.1142,0.4754
955,Dilithium2,0.1023,0.2543,0.1101,0.4667
956,Dilithium2,0.1023,0.5534,0.1114,0.7671
957,Dilithium2,0.1044,0.1824,0.1101,0.3969
958,Dilithium2,0.1051,0.2810,0.1129,0.4990
959,Dilithium2,0.1063,0.2567,0.1119,0.4749
960,Dilithium2,0.1063,0.1903,0.1141,0.4107
961,Dilithium2,0.1045,1.2168,0.1121,1.4334
962,Dilithium2,0.1047,1.3557,0.1124,1.5728
963,Dilithium2,0.1039,0.1836,0.1109,0.3984
964,Dilithium2,0.1045,0.1826,0.1121,0.3992
965,Dilithium2,0.1100,0.9077,0.1195,1.1372
966,Dilithium2,0.1068,0.4861,0.1125,0.7054
967,Dilithium2,0.1059,0.6635,0.1119,0.8813
968,Dilithium2,0.1062,0.1831,0.1163,0.4056
969,Dilithium2,0.1041,0.4979,0.2286,0.8306
970,Dilithium2,0.1128,0.3295,0.1114,0.5537
971,Dilithium2,0.1038,0.1825,0.1104,0.3967
972,Dilithium2,0.1049,0.3332,0.1109,0.5490
973,Dilithium2,0.1036,0.4252,0.1144,0.6432
974,Dilithium2,0.1028,0.3580,0.1105,0.5713
975,Dilithium2,0.2267,0.1945,0.1135,0.5347
976,Dilithium2,0.1071,0.1828,0.1113,0.4012
977,Dilithium2,0.1034,0.5636,0.1111,0.7781
978,Dilithium2,0.1047,0.1831,0.1112,0.3990
979,Dilithium2,0.1037,0.2573,0.1106,0.4716
